questionId,location,totalCount,totalDuration,avgInterval
2sYqAzwNQEjNi3ikk,maker faire,44,1797.805,41.8094186047
dc7wjni3MG44XSTib,market street,46,4209.3,93.54
u8riooQJB4QiexMMX,chi 2017,15,586.786,41.9132857143
LnxtxaT6yk9dSgHfa,maker faire,229,9220.896,40.4425263158
MZ5QtaSxgonppBYm9,maker faire,171,8737.006,51.3941529412
Ce3GTajiyJuJYhw2q,market street,88,12551.99,144.275747126
sX6s2eEDZzuqH2eb8,market street,167,23321.619,140.491680723
9DbRHQGcof6Z4by8T,chi 2017,28,1159.99,42.9625925926
XKAxdAvwqd78hqLB7,maker faire,219,12859.908,58.9904036697
qT7CCabdjnyNx7D8t,maker faire,203,10112.983,50.0642722772
HG4uaQPuhgBCeDMWv,maker faire,129,6295.454,49.183234375
RJWrAWsXWZ55JkSL3,maker faire,157,6520.06,41.7952564103
SymZ6oyHqqXNiqQvS,maker faire,247,12628.295,51.3345325203
K6kuBFTycTrSRSiv5,chi 2017,32,1196.913,38.6100967742
hvzsy7sBf8JSgHKcu,maker faire,139,5577.18,40.4143478261
hwtm43DJg7QqaSG2R,chi 2017,41,1251.345,31.283625
BqkYrLifXqfzXod8C,chi 2017,1,0.0,None
tzYANsqNaghnsKFBd,asian art museum,6,244.919,48.9838
FHQ5hH6A2jnshZ9S8,market street,91,12567.412,139.637911111
EhkSaPGrgCNokcY5K,market street,164,23571.265,144.60898773
bEEerWynEfZbKncmA,chi 2017,9,137.979,17.247375
xFqSRCcfXFjjvnKZ2,market street,92,11672.342,128.267494505
2FbZqoEDD7fsFBhmJ,maker faire,294,13018.843,44.4329112628
qT7CCabdjnyNx7D8t,chi 2017,1,0.0,None
Sc77Q5PCZjg832CWf,maker faire,196,9414.739,48.2807128205
u8riooQJB4QiexMMX,maker faire,35,1129.531,33.2215
XkCS7aPMZZCpGZSFS,market street,170,429304.653,2540.26421893
vdWxGzLyEnkgL8Xv5,market street,12,2935.606,266.873272727
ELJxiSALznMC3kx8t,asian art museum,16,350.682,23.3788
MZ5QtaSxgonppBYm9,chi 2017,21,517.656,25.8828
YQ8bQTX7HByfxGmih,market street,109,15216.636,140.894777778
tzYANsqNaghnsKFBd,chi 2017,13,241.906,20.1588333333
PP5CCom5XSbzXfYWw,market street,94,89623.28,963.691182796
ZYKtbgG9BP7BAtKDw,market street,149,18939.822,127.97177027
9DbRHQGcof6Z4by8T,maker faire,168,8204.866,49.1309341317
Quh6722Fhh65iGftN,asian art museum,17,334.47,20.904375
Hg79KSZGCJ4unZm8w,chi 2017,44,976.03,22.698372093
88hYnvneC8Wty2yqk,asian art museum,21,733.419,36.67095
3gyiSKjsP3zRowhih,market street,74,7889.862,108.08030137
vmd2vQAnH5pGN5nJG,asian art museum,2,0.272,0.272
tQRrMsXECakknkKDj,market street,16,1873.297,124.886466667
3k8nyy8grNpaxv7Nz,maker faire,49,1798.516,37.4690833333
GHgMir2gLMTD4YxWo,asian art museum,14,463.547,35.6574615385
k9s5pMKTpQhiRGutp,maker faire,328,14902.244,45.5726116208
zCS6oY62KYhRNTzca,chi 2017,6,92.204,18.4408
88hYnvneC8Wty2yqk,maker faire,217,9206.289,42.6217083333
ZJQxkgxM4Fh6grBLj,market street,155,18811.271,122.15111039
hvzsy7sBf8JSgHKcu,chi 2017,20,330.38,17.3884210526
LnxtxaT6yk9dSgHfa,chi 2017,7,244.239,40.7065
mMNXZ9mktJF4tMHxH,maker faire,68,2780.098,41.494
u8riooQJB4QiexMMX,market street,88,10562.592,121.409103448
TqHEaicpZ6zzxjwed,asian art museum,9,1019.235,127.404375
EZuoG6PaDLs8uiE35,chi 2017,12,316.112,28.7374545455
LZCSpQCgiaiteuaKd,maker faire,91,4540.643,50.4515888889
ELJxiSALznMC3kx8t,maker faire,253,10114.875,40.1383928571
BqkYrLifXqfzXod8C,market street,2,11.922,11.922
tzYANsqNaghnsKFBd,maker faire,275,11738.879,42.8426240876
R3JFQ5sR9wFPyAPSd,market street,58,5627.084,98.7207719298
ojc2RDYr6s3Bg5GK7,maker faire,28,1243.681,46.0622592593
HmpJLbaouRnqsTr5F,maker faire,200,9280.525,46.6358040201
AGwDAaCLN2fXn778N,chi 2017,1,0.0,None
rj3vKeeTrxoGbLC7Y,chi 2017,1,0.0,None
ZZPFXMbDbPT3iXGvn,maker faire,217,13303.082,61.5883425926
yGjQ2dmEnxc8qWoLw,market street,222,29627.489,134.061036199
2sYqAzwNQEjNi3ikk,market street,53,4076.486,78.3939615385
wpFuJxW7HrFg7wNYy,asian art museum,51,852.791,17.05582
EZuoG6PaDLs8uiE35,maker faire,267,11422.006,42.9398721805
dc7wjni3MG44XSTib,asian art museum,4,65.311,21.7703333333
GgGxGgo2BDGTddA5S,chi 2017,11,553.658,55.3658
LnxtxaT6yk9dSgHfa,market street,93,24352.526,264.701369565
mMNXZ9mktJF4tMHxH,chi 2017,12,318.421,28.9473636364
i3bZ6cjJTvNkxmufr,chi 2017,60,2497.069,42.3232033898
RJWrAWsXWZ55JkSL3,asian art museum,31,793.321,26.4440333333
DZXsQJTtvioy5HiiP,market street,79,14584.7,186.983333333
SetnuPbedhyNi229a,maker faire,106,5711.728,54.3974095238
7w5oAnFHdhGQAKoFn,market street,21,2551.762,127.5881
hvzsy7sBf8JSgHKcu,market street,56,6994.253,127.168236364
p8fxzcbuRfgToCiKt,maker faire,283,11940.744,42.3430638298
curhpSNJhyzEghLse,market street,117,10490.903,90.4388189655
Y9v6N4aDKfPY7XPec,maker faire,127,6174.986,49.0078253968
Ce3GTajiyJuJYhw2q,chi 2017,24,757.847,32.9498695652
DBZgk7QyHvytNc74m,asian art museum,22,730.347,34.7784285714
bpTm4aB8RAi2qvB3G,chi 2017,8,413.849,59.1212857143
BvopmN6MBMADwyR3A,market street,72,6618.514,93.2185070423
LQSYEP3aXXsokKtGb,asian art museum,14,318.98,24.5369230769
gHsZ4cj2TP4i3QwBF,market street,27,3295.999,126.769192308
2rJA2ZthvJfuhoE6W,maker faire,312,14221.206,45.7273504823
u8riooQJB4QiexMMX,asian art museum,2,46.763,46.763
